id,name,count,date,platform
8,rua,5,2023-02,discord
6,棒棒糖,4,2023-02,discord
7,尖頭,4,2023-02,discord
12,小頭,1,2023-02,discord
13,電烤爐,1,2023-02,discord
14,小徹,1,2023-02,discord
15,電我,1,2023-02,discord
